id,room_type,price,latitude,longitude
1177790,Entire home/apt,48,40.42087,-3.70118
1182242,Entire home/apt,160,40.40698,-3.67882
1184735,Entire home/apt,107,40.4183,-3.70731
1186878,Private room,21,40.3969,-3.71329
1198047,Entire home/apt,65,40.40786,-3.70223
1206122,Entire home/apt,104,40.41816,-3.67559
1209383,Private room,35,40.40339,-3.69393
1209661,Entire home/apt,83,40.39236,-3.69462
1214008,Private room,19,40.39842,-3.667
1220946,Entire home/apt,75,40.41682,-3.70233
1227155,Private room,43,40.41568,-3.70486
1230412,Entire home/apt,200,40.41195,-3.696
1230570,Entire home/apt,86,40.42117,-3.69746
1234836,Entire home/apt,39,40.42202,-3.707
1242828,Entire home/apt,575,40.42124,-3.69913
1248292,Entire home/apt,75,40.41884,-3.702
1251023,Private room,39,40.43355,-3.713
1251520,Private room,32,40.41697,-3.70949
1254418,Entire home/apt,80,40.39979,-3.69071
1254955,Entire home/apt,55,40.40441,-3.69717
1255811,Private room,81,40.39518,-3.69349
1256157,Entire home/apt,89,40.41239,-3.71197
1256570,Private room,35,40.40648,-3.70429
1262589,Entire home/apt,40,40.42543,-3.7037
1263062,Private room,43,40.39963,-3.69485
1263329,Private room,44,40.39848,-3.69692
1266548,Entire home/apt,48,40.42239,-3.70986
1267730,Entire home/apt,75,40.41688,-3.70384
1272747,Entire home/apt,51,40.42055,-3.71043
1273055,Entire home/apt,100,40.42703,-3.7041
1274889,Entire home/apt,62,40.43831,-3.69859
1275293,Entire home/apt,80,40.44656,-3.66016
1281843,Entire home/apt,60,40.41784,-3.69943
1289823,Entire home/apt,41,40.4034,-3.60575
1296584,Entire home/apt,48,40.41312,-3.69776
1297217,Entire home/apt,82,40.41495,-3.70061
1298830,Entire home/apt,51,40.40752,-3.69284
1302691,Entire home/apt,43,40.42341,-3.70226
1302882,Private room,27,40.42481,-3.69799
1309325,Private room,29,40.4926,-3.65542
1311739,Entire home/apt,56,40.44964,-3.69652
1316794,Entire home/apt,68,40.41156,-3.70848
1326972,Entire home/apt,54,40.42186,-3.70158
1330726,Entire home/apt,41,40.40872,-3.70761
1335588,Entire home/apt,59,40.42785,-3.70102
1336818,Entire home/apt,75,40.46396,-3.68005
1343630,Private room,41,40.43817,-3.69863
1346145,Private room,48,40.4171,-3.70871
1346747,Entire home/apt,46,40.40769,-3.70653
1357593,Entire home/apt,51,40.42055,-3.70332
1361648,Private room,35,40.40856,-3.70269
1362092,Entire home/apt,181,40.42187,-3.69876
1362476,Entire home/apt,91,40.42176,-3.7024
1362727,Entire home/apt,65,40.4129,-3.70847
1375914,Entire home/apt,68,40.41708,-3.7028
1380233,Entire home/apt,62,40.422,-3.70445
1383366,Private room,41,40.41198,-3.70247
1395084,Private room,30,40.44282,-3.68077
1398273,Private room,60,40.41797,-3.69855
1408400,Entire home/apt,78,40.41639,-3.71313
1426027,Entire home/apt,57,40.41009,-3.71201
1426530,Entire home/apt,38,40.39178,-3.72023
1427336,Entire home/apt,34,40.42202,-3.70324
1430003,Entire home/apt,84,40.42183,-3.71091
1431541,Entire home/apt,120,40.44234,-3.69849
1434789,Entire home/apt,145,40.42183,-3.71091
1443639,Entire home/apt,69,40.4058,-3.69604
1458472,Entire home/apt,82,40.41028,-3.70913
1463257,Entire home/apt,60,40.42336,-3.70716
1463482,Entire home/apt,59,40.50458,-3.69065
1470828,Private room,23,40.41272,-3.70616
1473278,Entire home/apt,140,40.42303,-3.67129
1482007,Entire home/apt,135,40.42498,-3.67932
1485339,Entire home/apt,60,40.41909,-3.61418
1491263,Private room,13,40.4244,-3.67485
1496117,Entire home/apt,49,40.40705,-3.70384
1496523,Entire home/apt,575,40.42032,-3.69827
1500875,Entire home/apt,54,40.42066,-3.7101
1509796,Entire home/apt,59,40.42326,-3.66745
1518919,Entire home/apt,80,40.41934,-3.70214
1522608,Entire home/apt,79,40.42483,-3.6984
1523675,Entire home/apt,51,40.42816,-3.7045
1529540,Private room,35,40.36148,-3.59824
1532354,Entire home/apt,50,40.41055,-3.70656
1546734,Private room,50,40.40301,-3.68698
1547100,Private room,36,40.4028,-3.74828
1569343,Entire home/apt,96,40.42929,-3.67663
1579108,Entire home/apt,93,40.42171,-3.70564
1586115,Private room,16,40.40847,-3.72874
1592439,Private room,25,40.39883,-3.70025
1593044,Entire home/apt,100,40.43778,-3.71294
1595592,Entire home/apt,71,40.44544,-3.5861
1596257,Entire home/apt,82,40.41336,-3.69875
1600919,Entire home/apt,135,40.41312,-3.7067
1607436,Private room,400,40.42595,-3.7053
1608296,Entire home/apt,80,40.42701,-3.69553
1610861,Entire home/apt,66,40.42611,-3.69307
1621371,Entire home/apt,75,40.42183,-3.71091
1622564,Entire home/apt,97,40.42183,-3.71091
1623202,Entire home/apt,100,40.40366,-3.7059
1626586,Entire home/apt,63,40.41544,-3.70038
1628485,Private room,21,40.41751,-3.69832
1630249,Entire home/apt,80,40.42642,-3.71578
1636170,Entire home/apt,45,40.4163,-3.70046
1642412,Entire home/apt,55,40.43044,-3.6537
1644183,Private room,23,40.44349,-3.67322
1644403,Entire home/apt,103,40.41396,-3.70446
1656392,Private room,50,40.40901,-3.68895
1659406,Entire home/apt,90,40.42065,-3.69905
1659585,Entire home/apt,110,40.42116,-3.70157
1662333,Entire home/apt,55,40.42394,-3.70396
1665067,Private room,25,40.38533,-3.71209
1666495,Private room,36,40.41735,-3.70879
1674734,Private room,25,40.42491,-3.65433
1678262,Entire home/apt,68,40.42192,-3.70427
1680271,Entire home/apt,72,40.41474,-3.70744
1683393,Entire home/apt,71,40.44033,-3.61872
1691073,Entire home/apt,90,40.41666,-3.70222
1695083,Entire home/apt,36,40.42075,-3.70358
1698916,Entire home/apt,39,40.41555,-3.69955
1701472,Private room,53,40.42372,-3.70087
1704065,Entire home/apt,70,40.41135,-3.69868
1710251,Entire home/apt,74,40.42803,-3.67591
1710892,Entire home/apt,62,40.41024,-3.70736
1713499,Private room,30,40.45502,-3.69977
1716687,Private room,24,40.41662,-3.69616
1731209,Entire home/apt,71,40.41746,-3.70646
1737408,Entire home/apt,105,40.40564,-3.65427
1737767,Entire home/apt,63,40.41466,-3.70115
1750838,Entire home/apt,50,40.41014,-3.70096
1753278,Private room,46,40.44278,-3.69748
1753979,Entire home/apt,80,40.4203,-3.70173
1755242,Entire home/apt,62,40.4152,-3.70429
1755707,Entire home/apt,40,40.42852,-3.70034
1757983,Entire home/apt,51,40.40489,-3.69532
1758199,Entire home/apt,50,40.4258,-3.70723
1758858,Entire home/apt,72,40.42629,-3.70215
1763683,Entire home/apt,60,40.42318,-3.70166
1765529,Entire home/apt,51,40.40955,-3.71055
1766697,Entire home/apt,75,40.42222,-3.70554
1768203,Entire home/apt,56,40.41083,-3.70229
1774049,Entire home/apt,31,40.40498,-3.7006
1775014,Entire home/apt,70,40.42456,-3.696
1779465,Entire home/apt,105,40.41464,-3.70822
1781083,Entire home/apt,65,40.42406,-3.69642
1788097,Entire home/apt,71,40.42448,-3.70263
1788102,Private room,33,40.41614,-3.69575
1790920,Entire home/apt,80,40.42896,-3.70693
1797544,Entire home/apt,123,40.42129,-3.68397
1811287,Entire home/apt,65,40.42077,-3.70738
1819060,Entire home/apt,57,40.40108,-3.69683
1829496,Entire home/apt,93,40.43271,-3.66726
1830224,Entire home/apt,55,40.42249,-3.70641
1834083,Private room,28,40.38298,-3.65734
1839779,Entire home/apt,33,40.40597,-3.6982
1846137,Private room,33,40.41394,-3.70055
1846297,Entire home/apt,56,40.40155,-3.67772
1847117,Private room,22,40.41868,-3.67246
1854759,Private room,31,40.40847,-3.72231
1858255,Entire home/apt,149,40.42363,-3.70076
1859879,Entire home/apt,76,40.41137,-3.71299
1864170,Entire home/apt,90,40.42649,-3.70003
1865189,Private room,100,40.43597,-3.70842
1867724,Entire home/apt,54,40.43194,-3.70153
1868069,Entire home/apt,106,40.43128,-3.70191
1870392,Private room,27,40.41568,-3.69793
1870994,Entire home/apt,44,40.4188,-3.70144
1882845,Private room,29,40.4509,-3.68718
1883013,Private room,18,40.42665,-3.69758
1886633,Entire home/apt,420,40.41793,-3.71183
1890985,Private room,15,40.39524,-3.70052
